Country,Year,Value
Canada,1998,41.799436
United States,1999,53.041436
United Kingdom,1999,48.602156
Italy,1999,51.279218
Japan,2001,39.591999
United States,2001,55.693841
Germany,2022,68.535288
United States,2022,73.898193
Spain,2022,53.083471
Canada,2022,53.30759
Japan,2002,40.321568
France,2002,59.938668
United Kingdom,2002,52.4469
United Kingdom,2000,50.589492
Germany,2000,56.051436
United States,2007,63.232583
United Kingdom,2007,56.972872
Italy,2007,52.833352
Germany,2006,60.858653
United States,2006,62.356937
Spain,2006,45.828539
Canada,2006,47.770347
Italy,2005,52.990201
Germany,2005,59.900695
France,2005,61.487911
United Kingdom,2008,56.967469
Germany,2008,61.593702
Spain,2004,45.384816
Canada,2004,46.155246
Italy,2004,52.754499
Japan,2004,41.879018
Japan,2010,43.440399
France,2010,62.484285
United Kingdom,2010,56.977221
Italy,2021,54.363363
Germany,2021,68.193844
France,2021,66.434341
Japan,2009,42.137637
United States,2009,66.089234
Spain,2012,50.458453
Canada,2012,49.199419
Italy,2012,52.728249
Japan,2012,44.192081
United States,2015,69.047471
