Country,Year,net_interest_margin,bank_concentration,ROA,ROE,cost_income_ratio
Italy,2006,2.361568,30.8398,1.004557,12.20589,60.89216
Italy,2007,2.135886,44.92985,0.8078198,9.082298,63.34629
Italy,2008,1.853105,51.7973,0.5070056,5.448462,65.96421
Italy,2009,1.650347,53.23537,0.2345598,2.534089,63.49298
Italy,2010,1.567468,61.56187,0.3024523,3.056099,63.98109
Italy,2011,1.43244,62.55447,-1.066254,-11.34362,73.5502
Italy,2012,1.446643,61.80725,-0.0663009,-0.7497872,67.88566
Italy,2013,1.299654,62.7711,-1.253468,-14.46505,81.75796
Italy,2014,1.325132,64.38723,-0.2217697,-2.611756,65.64462
Italy,2015,1.12606,62.91106,0.1976415,2.222113,66.29988
Italy,2016,1.148574,59.4027,-0.883881,-10.51883,81.85949
Italy,2017,1.769918,71.09868,0.6948252,9.280309,58.20581
Japan,1996,1.240786,29.60123,-0.4309788,-12.05494,54.72184
Japan,1997,1.171709,32.52925,0.0261168,0.9301822,57.54229
Japan,1998,1.217005,33.28231,-0.5338812,-16.36926,60.78369
Japan,1999,1.374111,31.7598,-0.7490464,-16.90996,59.59937
Japan,2000,1.486815,32.23289,0.0881505,2.851631,61.75456
Japan,2001,1.228424,34.96366,-0.0689072,-0.8880411,58.07521
Japan,2002,1.266509,38.54346,-0.6935899,-15.46856,55.33243
Japan,2003,1.455906,36.53641,-0.7558788,-20.76761,53.43523
Japan,2004,1.388674,36.96986,-0.1482193,-1.217271,54.02142
Japan,2005,1.226512,37.19146,0.0605637,1.123792,52.43472
Japan,2006,1.1382,40.01756,0.5011421,10.5452,53.15772
Japan,2007,1.195796,38.2675,0.4355563,8.277963,54.91754
Japan,2008,1.249396,44.95909,0.2790495,5.720348,57.12469
Japan,2009,1.129967,44.64634,-0.1355258,-3.330404,61.74952
Japan,2010,1.119192,44.00381,0.2189481,5.127598,62.66513
Japan,2011,1.125781,43.24121,0.2558111,6.217078,60.47922
Japan,2012,1.023254,43.07323,0.276377,5.543663,61.5082
Japan,2013,0.8871613,43.0024,0.293187,5.755773,60.47351
Japan,2014,0.9150746,44.75411,0.3125019,5.914184,61.70309
Japan,2015,0.8187951,44.70848,0.2957819,5.589178,59.45892
Japan,2016,0.760108,44.05575,0.2553093,4.87649,63.68847
Japan,2017,0.8443036,47.47176,0.2824156,5.316998,68.6731
